"Hugo_Symbol"	"mut_count"	"missense_mut_count"
"559"	"ARAP2"	1	1
"560"	"ARAP3"	4	4
"561"	"ARCN1"	1	0
"562"	"ARF1"	1	1
"563"	"ARFGAP1"	1	1
"564"	"ARFGAP3"	1	0
"565"	"ARFGEF1"	3	2
"566"	"ARFGEF2"	3	3
"567"	"ARFIP1"	1	1
"568"	"ARG1"	2	2
"569"	"ARG2"	1	1
"570"	"ARHGAP11A"	6	4
"571"	"ARHGAP12"	4	4
"572"	"ARHGAP15"	2	2
"573"	"ARHGAP17"	4	4
"574"	"ARHGAP18"	1	1
"575"	"ARHGAP20"	3	3
"576"	"ARHGAP21"	4	4
"577"	"ARHGAP22"	2	2
"578"	"ARHGAP23"	5	5
"579"	"ARHGAP24"	3	2
"580"	"ARHGAP25"	2	2
"581"	"ARHGAP26"	1	1
"582"	"ARHGAP27"	1	1
"583"	"ARHGAP28"	5	5
"584"	"ARHGAP29"	5	3
"585"	"ARHGAP30"	1	1
"586"	"ARHGAP31"	3	3
"587"	"ARHGAP32"	2	2
"588"	"ARHGAP36"	2	2
"589"	"ARHGAP5"	3	2
"590"	"ARHGAP6"	1	1
"591"	"ARHGAP9"	3	3
"592"	"ARHGDIB"	1	1
"593"	"ARHGEF1"	5	4
"594"	"ARHGEF10"	1	1
"595"	"ARHGEF10L"	2	2
"596"	"ARHGEF11"	2	2
"597"	"ARHGEF12"	2	1
"598"	"ARHGEF15"	3	3
"599"	"ARHGEF17"	4	1
"600"	"ARHGEF18"	1	1
"601"	"ARHGEF19"	1	1
"602"	"ARHGEF2"	2	2
"603"	"ARHGEF3"	2	2
"604"	"ARHGEF4"	3	3
"605"	"ARHGEF6"	1	1
"606"	"ARHGEF7"	2	1
"607"	"ARHGEF9"	2	2
"608"	"ARID1A"	11	4
"609"	"ARID1B"	10	8
"610"	"ARID2"	5	2
"611"	"ARID3B"	4	2
"612"	"ARID3C"	2	2
"613"	"ARID4A"	3	3
"614"	"ARID4B"	5	4
"615"	"ARID5A"	1	1
"616"	"ARID5B"	1	0
"617"	"ARL1"	1	1
"618"	"ARL11"	2	2
"619"	"ARL5A"	1	1
"620"	"ARL6"	1	1
"621"	"ARL6IP6"	2	2
"622"	"ARL8B"	2	2
"623"	"ARMC10"	1	0
"624"	"ARMC4"	2	2
"625"	"ARMC5"	1	1
"626"	"ARMC6"	1	1
"627"	"ARMC7"	1	1
"628"	"ARMC8"	2	1
"629"	"ARMCX1"	4	2
"630"	"ARMCX2"	5	4
"631"	"ARMCX5"	3	3
"632"	"ARMET"	1	1
"633"	"ARNT"	2	1
"634"	"ARNTL"	1	0
"635"	"ARPC1A"	1	1
"636"	"ARPC1B"	1	1
"637"	"ARPC2"	2	2
"638"	"ARPM1"	1	1
"639"	"ARPP21"	2	1
"640"	"ARR3"	1	1
"641"	"ARRB1"	1	1
"642"	"ARRB2"	1	1
"643"	"ARRDC3"	1	1
"644"	"ARRDC4"	1	1
"645"	"ARSA"	1	1
"646"	"ARSB"	3	3
"647"	"ARSE"	2	2
"648"	"ARSF"	1	1
"649"	"ARSH"	1	1
"650"	"ARSK"	1	1
"651"	"ART4"	1	1
"652"	"ARVCF"	2	1
"653"	"AS3MT"	1	0
"654"	"ASAH1"	1	1
"655"	"ASAP1"	1	1
"656"	"ASAP2"	1	1
"657"	"ASB1"	2	2
"658"	"ASB10"	2	2
"659"	"ASB12"	1	1
"660"	"ASB15"	1	1
"661"	"ASB16"	3	3
"662"	"ASB17"	1	1
"663"	"ASB18"	1	1
"664"	"ASB5"	1	0
"665"	"ASB6"	2	2
"666"	"ASB7"	2	1
"667"	"ASB8"	1	1
"668"	"ASB9"	2	2
"669"	"ASCC1"	1	1
"670"	"ASCC3"	2	2
"671"	"ASCL3"	1	1
"672"	"ASH1L"	5	4
"673"	"ASH2L"	3	3
"674"	"ASL"	3	3
"675"	"ASMTL"	2	2
"676"	"ASNSD1"	2	2
"677"	"ASPA"	2	0
"678"	"ASPH"	4	2
"679"	"ASPM"	7	6
"680"	"ASPRV1"	2	0
"681"	"ASS1"	1	1
"682"	"ASTE1"	1	1
"683"	"ASTL"	1	1
"684"	"ASTN1"	4	4
"685"	"ASTN2"	2	2
"686"	"ASXL1"	4	3
"687"	"ASXL2"	6	3
"688"	"ASXL3"	10	9
"689"	"ASZ1"	3	2
"690"	"ATAD2"	3	3
"691"	"ATAD2B"	6	5
"692"	"ATAD3B"	2	1
"693"	"ATAD5"	5	4
"694"	"ATCAY"	2	2
"695"	"ATF2"	2	2
"696"	"ATF3"	1	1
"697"	"ATF4"	1	1
"698"	"ATF5"	2	2
"699"	"ATF6"	2	1
"700"	"ATF7IP"	2	2
"701"	"ATF7IP2"	1	1
"702"	"ATG16L1"	3	3
"703"	"ATG16L2"	2	2
"704"	"ATG2A"	3	3
"705"	"ATG2B"	5	5
"706"	"ATG3"	1	1
"707"	"ATG4A"	4	2
"708"	"ATG4B"	1	1
"709"	"ATG4D"	3	3
"710"	"ATG5"	1	1
"711"	"ATG7"	2	2
"712"	"ATG9A"	1	1
"713"	"ATG9B"	1	1
"714"	"ATHL1"	4	4
"715"	"ATIC"	3	1
"716"	"ATL3"	2	2
"717"	"ATM"	12	7
"718"	"ATMIN"	1	1
"719"	"ATN1"	8	4
"720"	"ATOH1"	3	3
"721"	"ATP10A"	5	4
"722"	"ATP10B"	12	11
"723"	"ATP10D"	4	4
"724"	"ATP11A"	7	4
"725"	"ATP11C"	3	3
"726"	"ATP12A"	3	3
"727"	"ATP13A1"	2	1
"728"	"ATP13A2"	1	0
"729"	"ATP13A3"	1	1
"730"	"ATP13A4"	4	2
"731"	"ATP13A5"	2	2
"732"	"ATP1A1"	3	3
"733"	"ATP1A2"	2	2
"734"	"ATP1A3"	5	5
"735"	"ATP1A4"	9	8
"736"	"ATP1B1"	1	0
"737"	"ATP1B3"	1	0
"738"	"ATP1B4"	2	2
"739"	"ATP2A1"	2	1
"740"	"ATP2A2"	1	1
"741"	"ATP2A3"	1	1
"742"	"ATP2B1"	4	4
"743"	"ATP2B2"	5	1
"744"	"ATP2B3"	6	6
"745"	"ATP2B4"	1	1
"746"	"ATP2C1"	1	0
"747"	"ATP2C2"	3	3
"748"	"ATP4A"	5	4
"749"	"ATP4B"	1	1
"750"	"ATP5A1"	1	1
"751"	"ATP5B"	1	1
"752"	"ATP5C1"	2	1
"753"	"ATP5F1"	2	2
"754"	"ATP6V0A2"	2	1
"755"	"ATP6V0A4"	2	2
"756"	"ATP6V0B"	1	1
"757"	"ATP6V0D2"	1	1
"758"	"ATP6V0E1"	1	1
"759"	"ATP6V0E2"	1	1
"760"	"ATP6V1B1"	1	1
"761"	"ATP6V1B2"	1	0
"762"	"ATP6V1C1"	1	1
"763"	"ATP6V1G2"	1	0
"764"	"ATP6V1H"	1	1
"765"	"ATP7A"	6	5
"766"	"ATP7B"	1	1
"767"	"ATP8A1"	2	1
"768"	"ATP8B1"	2	1
"769"	"ATP8B2"	3	3
"770"	"ATP8B3"	4	4
"771"	"ATP8B4"	3	3
"772"	"ATP9A"	4	2
"773"	"ATP9B"	2	2
"774"	"ATPAF1"	1	1
"775"	"ATPBD4"	1	1
"776"	"ATPGD1"	3	2
"777"	"ATPIF1"	1	0
"778"	"ATR"	2	2
"779"	"ATRN"	5	5
"780"	"ATRNL1"	2	2
"781"	"ATRX"	9	8
"782"	"ATXN1"	3	3
"783"	"ATXN10"	3	3
"784"	"ATXN1L"	1	1
"785"	"ATXN2"	3	3
"786"	"ATXN2L"	2	2
"787"	"ATXN3L"	2	2
"788"	"ATXN7"	1	1
"789"	"ATXN7L1"	4	3
"790"	"ATXN7L2"	1	1
"791"	"ATXN8OS"	1	0
"792"	"AUP1"	2	2
"793"	"AURKA"	1	1
"794"	"AURKAIP1"	1	0
"795"	"AURKAPS1"	2	0
"796"	"AURKC"	1	0
"797"	"AUTS2"	1	1
"798"	"AVIL"	1	1
"799"	"AVL9"	1	1
"800"	"AVPI1"	4	4
"801"	"AVPR1B"	1	1
"802"	"AWAT1"	3	3
"803"	"AWAT2"	1	1
"804"	"AXIN1"	1	1
"805"	"AXL"	1	1
"806"	"AZFP"	2	0
"807"	"AZGP1"	1	1
"808"	"AZGP1P1"	2	2
"809"	"AZI1"	1	0
"810"	"AZI2"	1	1
"811"	"AZIN1"	1	1
"812"	"B2M"	2	2
"813"	"B3GALNT1"	1	1
"814"	"B3GALT1"	1	1
"815"	"B3GALT2"	1	1
"816"	"B3GALT4"	2	2
"817"	"B3GALT5"	1	1
"818"	"B3GAT1"	1	1
"819"	"B3GAT2"	1	1
"820"	"B3GAT3"	1	1
"821"	"B3GNT1"	1	1
"822"	"B3GNT2"	1	1
"823"	"B3GNT3"	1	1
"824"	"B3GNT4"	1	1
"825"	"B3GNT7"	1	1
"826"	"B3GNT8"	1	1
"827"	"B3GNT9"	1	1
"828"	"B4GALNT3"	2	2
"829"	"B4GALT1"	2	2
"830"	"B4GALT3"	1	0
"831"	"B4GALT4"	1	1
"832"	"B4GALT6"	1	1
"833"	"B9D1"	1	1
"834"	"B9D2"	1	1
"835"	"BAAT"	1	1
"836"	"BACE1"	1	1
"837"	"BACE2"	1	1
"838"	"BACH1"	2	1
"839"	"BACH2"	5	5
"840"	"BAD"	1	1
"841"	"BAG3"	2	1
"842"	"BAG4"	1	0
"843"	"BAGE2"	1	1
"844"	"BAHCC1"	9	8
"845"	"BAHD1"	3	3
"846"	"BAI1"	7	5
"847"	"BAI2"	3	3
"848"	"BAI3"	5	4
"849"	"BAIAP2"	2	1
"850"	"BAIAP2L1"	1	1
"851"	"BAIAP2L2"	1	1
"852"	"BAIAP3"	4	4
"853"	"BAK1"	1	1
"854"	"BANK1"	4	4
"855"	"BAP1"	2	2
"856"	"BARD1"	2	2
"857"	"BARX2"	2	1
"858"	"BAT2"	1	0
"859"	"BAT2L1"	7	7
"860"	"BAT2L2"	4	2
"861"	"BAT5"	1	1
"862"	"BAZ1A"	6	4
"863"	"BAZ1B"	4	3
"864"	"BAZ2A"	5	3
"865"	"BAZ2B"	6	4
"866"	"BBS10"	1	1
"867"	"BBS2"	2	2
"868"	"BBS5"	2	2
"869"	"BBS7"	1	1
