,id.videoId,snippet.title,BATB,viewCount,likeCount,dislikeCount
21,QHOao3OVNhw,Weiger Van Wageningen Vs Griffin Gass: BATB7 - Round 1,7,74574,511,7
22,k0ykUg8NhHc,Nyjah Huston Vs Gavin Nolan: BATB7 - Round 1,7,435106,2575,54
23,YtGx9vk8qEw,Mike Mo Capaldi Vs Nate Principato: BATB7 - Round 1,7,110283,735,9
24,j3aXowlJwCc,Chaz Ortiz Vs Will Fyock: BATB7 - Round 1,7,416308,2195,17
25,Y3F3dYS9d_A,Paul Rodriguez Vs Jonny Giger: BATB7 - Round 1,7,1058971,8468,80
26,uTdIYtS9D5o,Luan Oliveira Vs Tanner Lawler: BATB7 - Round 1,7,757142,5544,36
27,qihCLfAZ0Rk,Albert Nyberg Vs Eric Martinac: BATB7 - Round 1,7,75151,436,5
28,3frXl7R86q8,Morgan Smith Vs Spencer Brown: BATB7 - Round 1,7,94661,641,4
29,WmEGHcNMBmQ,Tom Asta Vs Cody Whitt: BATB7 - Round 1,7,129349,915,9
30,r40REAFPR54,Chris Cole Vs Chris Chann: BATB7 - Round 1,7,1930796,20299,183
31,dQBj3EtPgWE,Moose Vs CJ Tambornino: BATB7 - Round 1,7,144962,882,8
32,8ElV5Z_JFRg,Eric Koston Vs Chhandy Khon: BATB7 - Round 1,7,228574,1373,12
33,bDaBZwAUbRc,Trent McClung Vs Cody Cepeda: BATB7 - Round 1,7,414676,3029,42
34,VDUZyzF1IEs,BATB7 - Presenting the Pros,7,117317,1104,8
35,6iOsp-STfIQ,BATB7: Cristian Vannella - Joe 13,7,32915,204,3
36,HM4IubzheEg,BATB7: Cody Whitt - Joe 12,7,18962,158,2
37,NmnvZYuLXxk,BATB7: Will Fyock - Joe 16,7,48754,286,4
38,TWm852i8ipY,BATB7: Griffin Gass - Joe 11,7,17916,99,0
39,eCUee9coh8I,BATB7: Moses Adams- Joe 15,7,23917,141,1
40,Hgz9FDVL72Y,BATB7: Jonny Giger - Joe 10,7,27740,215,2
41,fvh3HXQEqWE,BATB7: Nate Principato - Joe 14,7,19544,141,2
42,4z59KcP0wi8,BATB7: CJ Tambornino - Joe 09,7,21266,120,2
44,co288AE35_4,BATB7: Chris Chann - Joe 01,7,73890,428,7
45,gkcT5obfpNI,BATB7: Eric Martinac - Joe 07,7,15677,67,1
46,TKwMzmLqHks,BATB7: Tanner Lawler - Joe 04,7,23666,95,1
47,LleRus4lDSE,BATB7: Gavin Nolan - Joe 05,7,23240,83,4
48,JoU9z3LZFk4,BATB7: Spencer Brown - Joe 06,7,17080,65,0
49,CdajBRTYqM0,BATB7: Cody Cepeda - Joe 02,7,62356,237,4
0,GJx0KHZ-Y1s,BATB8 - Different Perspective,8,38224,1016,14
1,N4WMp2QWJpE,Alex Midler - All Access | BATB8 Finals Night,8,29350,552,19
2,QPvDy2-2SBo,Shane O'neill Vs Sewa Kroetkov - Championship Battle: BATB8,8,631085,6129,245
3,F8ti5F7D3ak,This Is Finals Night - BATB8,8,25917,647,5
4,EExTL3HaQtI,Cody Cepeda Vs Tom Asta - Third Place Battle: BATB8,8,56972,1197,26
5,eFwOTg4jbDg,Shane O'neill Vs Cody Cepeda - Finals: BATB8,8,751221,6247,104
6,l2YtclKTLd0,Sewa Kroetkov Vs Tom Asta - Finals: BATB8,8,256008,2775,42
7,otxZstM1I08,BATB8 - Course Preview with Eric Koston and Steve Berra,8,19699,818,7
8,cyrrsM5Elm0,Shane O'neill - Fight Night: BATB8,8,35080,893,6
9,vC79i3m1tV0,Cody Cepeda - Fight Night: BATB8,8,24793,626,11
10,xioJUwS1Lkc,Tom Asta - Fight Night: BATB8,8,26834,706,2
11,GY74mbtW8Wc,Sewa Kroetkov - Fight Night: BATB8,8,38314,939,7
12,aciXZo7L__I,Shane O'neill - Slow Mo: BATB8,8,105604,2306,12
13,XXF8F5br0Q8,Shane O'neill - BATB8: Final Four,8,45416,973,5
14,XSZ-MCQFpUo,Cody Cepeda - Slow Mo: BATB8,8,42197,1000,29
15,VDXooeA0vdo,Cody Cepeda - BATB8: Final Four,8,25090,653,42
16,XI6i_ifrP-Y,Tom Asta - Slow Mo: BATB8,8,35441,826,4
17,YB7Pentca0E,Tom Asta - BATB8: Final Four,8,18267,538,4
18,JEWCxI3Ktu8,Sewa Kroetkov - Slow Mo: BATB8,8,51643,1064,9
19,xeFWHze_tu0,Sewa Kroetkov - BATB8: Final Four,8,27819,664,1
20,Qck_y2FaP_E,Luan Oliveira Vs Cody Cepeda - BATB8: Round 3,8,1529371,14899,812
21,eD3MGBM47lA,Sewa Kroetkov Vs Matt Berger - BATB8: Round 3,8,126877,1892,16
22,1VqJhx4Mbak,Shane O'neill Vs Will Fyock - BATB8: Round 3,8,524624,5375,43
23,d41HdwIig-M,PJ Ladd Vs Tom Asta - BATB8: Round 3,8,242981,3094,23
24,YRGwaWBiZK0,BATB8 - Round 2 Recap,8,40804,1327,2
25,FkqoDnRZDzY,Chaz Ortiz Vs Matt Berger - BATB8: Round 2,8,199354,2797,60
26,JckLtBh6gQI,Luan Oliveira Vs Morgan Smith - BATB8: Round 2,8,1042733,11312,88
27,b7_UiWSVBGs,Shane O'neill Vs Moose: BATB8 - Round 2,8,232862,3269,31
28,kGLx0am4Qfs,Tom Asta Vs Cyril Jackson: BATB8 - Round 2,8,219371,3484,17
29,D-tXdJFIzjY,Chris Chann Vs Cody Cepeda: BATB8 - Round 2,8,443553,5041,225
30,XmKLJg_ZuLs,Eric Koston Vs PJ Ladd: BATB8 - Round 2,8,356508,3678,37
31,s-zi-EqtFZA,Will Fyock Vs Chris Joslin: BATB8 - Round 2,8,472452,4925,71
32,Q3sD3jwH9FE,Paul Rodriguez Vs Sewa Kroetkov: BATB8 - Round 2,8,541731,5081,90
33,FSm7JN-vhKU,BATB8 - Round 1 Recap,8,70447,1482,3
34,qZfUvwnWULQ,Ishod Wair Vs PJ Ladd: BATB8 - Round 1,8,474511,7078,41
35,E8r9I1KDw24,Cody Cepeda Vs Mike Piwowar: BATB8 - Round 1,8,213982,3707,147
36,Ps_sg26ERso,Sean Malto Vs Matt Berger: BATB8 - Round 1,8,502728,4765,62
37,tN7At4FPicQ,Chris Chann Vs Bastien Salabanzi: BATB8 - Round 1,8,540145,6485,146
38,wf-9iVHaXBo,Tom Asta Vs Shaun Rodriguez: BATB8 - Round 1,8,160551,2781,39
39,gP-_TCuSh50,Shane O'neill Vs Louie Lopez: BATB8 - Round 1,8,422466,4708,44
40,vMM29C7VxQ0,Chaz Ortiz Vs Trent McClung: BATB8 - Round 1,8,315935,3682,29
41,lzZG66DCer0,Andrew Reynolds Vs Cyril Jackson: BATB8 - Round 1,8,444010,4529,51
42,y6kP6yzGWe4,Eric Koston Vs Miles Silvas: BATB8 - Round 1,8,414309,4471,43
43,PQTHWFUfjVk,Chris Joslin Vs Kevin Ramsay: BATB8 - Round 1,8,226181,2726,34
44,-FM7o-WA7U8,Luan Oliveira Vs Trevor McClung: BATB8 - Round 1,8,662148,6785,63
45,AKxHQn994OI,Paul Rodriguez Vs Spencer Brown: BATB8 - Round 1,8,476720,4653,55
46,FxVqx54J3g4,Felipe Gustavo Vs Will Fyock: BATB8 - Round 1,8,345196,4027,64
47,czdJvyWUqxY,Torey Pudwill Vs Sewa Kroetkov: BATB8 - Round 1,8,561185,5072,86
48,lmVAo-PwtRE,Carlos Ribeiro Vs Morgan Smith: BATB8 - Round 1,8,296844,3941,27
49,z_TZo60nCXU,Chris Cole Vs Moose: BATB8 - Round 1,8,617398,6659,69
0,vYze4jKjrYU,BATB9 | Finals Night - DIFFERENT PERSPECTIVE,9,45329,846,21
1,xk-wNkDwIcE,BATB9 | Highlights,9,27726,662,4
2,QhIL10-3VsY,BATB9 | Diego Najera Vs Micky Papa - Championship Battle,9,303632,3934,281
3,bb-4Z72Lyjo,BATB9 | A LITTLE BIT OF ADVICE...,9,21180,451,9
4,gLovSXdyXo8,BATB9 | Youness Amrani Vs Michael Sommer - 3rd Place Battle,9,63804,1554,29
5,AOJy7eR1frQ,BATB9 | Micky Papa Vs Youness Amrani - Finals,9,121348,2210,16
6,g7QGE5pO3sE,BATB9 | Diego Najera Vs Michael Sommer - Finals,9,161968,2670,37
7,HNHYJFpk4P4,BATB9 | ROAD TO FINALS NIGHT - NEW BLOOD,9,29028,432,2
8,ic1O1jRrFZ4,BATB9 | Diego Najera - FIGHT NIGHT,9,50723,904,11
9,gMGsQaCEfnA,BATB9 | Micky Papa - FIGHT NIGHT,9,19655,392,4
