	PX	PY	PZ	X	Y	Z	Reaction1	Reaction2	Reaction3	Reaction4	Reaction5	Reaction6	Reaction7	Reaction8	Reaction9	Reaction10	Reaction11	Reaction12
8.0	596.5695964030048	572.3330533885756	146.99267739047744	8.518859212544065	3.533289876770418	1.1983511041026997	2.952411622381017	1.2245449580922059	0.4153168445648419	59.04823244762034	24.49089916184412	8.306336891296839	41.35105337545272	39.671104229755585	10.188755989616705	2.0962867115672834	0.16413323820758088	0.17567764475510225
10.0	621.0430685035701	532.672171943559	141.0040845624144	7.402872371126144	1.9940716213347889	0.8690041870709921	2.565640056045602	0.6910925610814038	0.30117390108152275	51.31280112091204	13.821851221628078	6.023478021630455	43.04742519395466	36.92202141454203	9.773658366187364	2.2621786153069485	0.15381275973341335	0.1980523587106924
12.0	634.1593459796263	483.80312659074383	133.02734458964474	7.16164236331173	1.2146182948469104	0.7471667209198553	2.4820361061540943	0.42095462326483213	0.2589482530069086	49.640722123081886	8.419092465296643	5.178965060138172	43.95657626915168	33.53467731424604	9.220752883968855	2.5150392871018683	0.14876418786213558	0.23347487035983497
14.0	646.1927800560755	433.99107801848834	125.38080401922053	7.436776144339308	0.8184899158722537	0.7480795358927576	2.577390208452126	0.28366698875179974	0.25926461056932865	51.54780416904252	5.673339775035995	5.185292211386573	44.79067035940616	30.081969211668643	8.690735080226176	2.798535914600206	0.1443988346615677	0.28244769844361184
16.0	662.1896068750175	386.9078599636128	119.30918593312765	7.970970966459335	0.6133611070777858	0.831365956023689	2.762528025863235	0.21257476101804695	0.28812948421567175	55.2505605172647	4.2514952203609395	5.762589684313435	45.89948590015169	26.818409227026034	8.269882584444971	3.0582894509799687	0.13895827441515968	0.3469380797150027
18.0	683.5692487883135	343.956441475524	115.54691911658158	8.55460946409953	0.5018964845895701	0.9805009291820977	2.964801715416007	0.1739440666131043	0.33981572729948883	59.29603430832014	3.4788813322620857	6.796314545989777	47.38140975150993	23.84124376441913	8.009102120804656	3.237257687618565	0.1322720908011476	0.42991315321934387
20.0	709.0291486101121	305.45866906643295	114.61527981557326	9.00350458249286	0.43599282606576045	1.1922450105906421	3.1203769082567367	0.15110359906592224	0.41320063381378286	62.40753816513474	3.0220719813184447	8.264012676275657	49.14615552939176	21.172781524099136	7.944525805325381	3.2839254008235774	0.12508204734801695	0.535263165838841
22.0	735.2446370290298	271.25865591433086	116.9829123159753	9.165757288868267	0.39298492132812807	1.471344838458604	3.1766094112379037	0.13619819511058193	0.5099292632045048	63.53218822475807	2.723963902211639	10.198585264090097	50.96327471784924	18.802217254949877	8.108637584550957	3.1671929626986053	0.11844218971478386	0.6678185337026875
24.0	757.7030226644324	241.02177228042186	123.15661764890429	8.94664213331227	0.36300302714244737	1.8278912147422757	3.100669885092107	0.12580726239925635	0.633498820934451	62.013397701842145	2.516145247985127	12.66997641868902	52.51997138615996	16.70635619097356	8.53656622906372	2.889809151260435	0.11329137519960826	0.8333305285853335
26.0	771.7694923995433	214.374236446506	133.7352897890223	8.332681883148672	0.3422476870257291	2.2758756593636518	2.8878874769037184	0.11861400965752335	0.7887583982964609	57.75774953807437	2.372280193150467	15.775167965929217	53.494984769892355	14.859289757758669	9.269823905862804	2.490953843991506	0.11029092407697635	1.0383203831609196
28.0	773.8077559436762	190.96150100470624	149.4411128474953	7.395127895240238	0.32957324339149685	2.832077771342247	2.5629560252329866	0.11422138222240633	0.9815233611661859	51.259120504659734	2.284427644448127	19.63046722332372	53.63626643277774	13.236442601690728	10.3584686029982	2.0336229834781654	0.1098696231459024	1.289697067151838
30.0	762.008976082599	170.4683507289245	171.13114271029394	6.264635822312636	0.32492716175170777	3.514688956966855	2.171157328735419	0.11261117302777077	1.2180983705333752	43.42314657470838	2.2522234605554154	24.361967410667507	52.81843733330243	11.81596566824579	11.861906907564187	1.5825547150471324	0.11235528989576284	1.5940197899523656
32.0	736.6444661236799	152.62337875228815	199.78506850371815	5.087588933690921	0.32876696008469675	4.3411735399909785	1.7632239626179202	0.11394194572198581	1.5045360997830919	35.264479252358406	2.2788389144397163	30.090721995661838	51.06030347687148	10.57904646696812	13.848045695132775	1.185078166152897	0.11810736686441717	1.9562553558280995
34.0	699.7157336756148	137.19879909818286	236.45911236736433	3.9856168785193264	0.34193948882245556	5.3248943985001205	1.3813095510689006	0.118507196299697	1.8454677695499022	27.626191021378013	2.37014392599394	36.909355390998044	48.5005987990686	9.50989607711158	16.390096705514587	0.8637606022935288	0.12762173089975481	2.3778823614130187
36.0	654.2459602444699	124.01017769323745	282.19184750566063	3.0344042767201125	0.365748640371595	6.470111224338234	1.051644384543793	0.12675881943360223	2.2423696765296515	21.03288769087586	2.5351763886720446	44.84739353059303	45.34887427361883	8.595730502880535	19.560048347555067	0.620307502404971	0.1416102973790136	2.8542737422648474
38.0	603.5321068757347	112.91761309524574	337.8456046718529	2.2634406192194487	0.4020942965119666	7.765207297986075	0.7844487417884088	0.13935526397325215	2.6912157725312795	15.688974835768176	2.787105279465043	53.82431545062559	41.83365782583191	7.826852515252834	23.417672834286474	0.44430917515662194	0.16106975099646256	3.371512590571161
40.0	550.5850592453927	103.82877608722623	403.871123048787	1.66828883150405	0.45364085462120557	9.174612506143704	0.578184849958339	0.15721993968374634	3.179678395681761	11.56369699916678	3.144398793674927	63.593567913635226	38.163648147437435	7.1968623405850725	27.994213025084544	0.3211265345643398	0.18735179219497577	3.9032143464034474
42.0	497.8285535992676	96.70389742056109	479.99718515841465	1.2256870692984696	0.5240103198355648	10.630944263971875	0.42479076816650824	0.18160813788916846	3.6844045216310137	8.495815363330165	3.632162757783369	73.68809043262029	34.50684583295679	6.703003384622009	33.27086955692651	0.23669206263603038	0.2222438022593373	4.408520793714579
44.0	447.0165784355379	91.56281338013707	564.8755735451604	0.9056802318508539	0.6180076864682659	12.030292988076434	0.31388484959814844	0.21418514271992656	4.1693818329976295	6.277696991962969	4.283702854398531	83.3876366599526	30.98482810061467	6.346650593857844	39.15419111700099	0.1795301859653533	0.26806518845491917	4.833005463078749
46.0	399.28789090263973	88.49427238132735	655.7545026968246	0.6791107720680313	0.7418863248033015	13.234827915571143	0.23536185847342175	0.25711820716669415	4.586841827437098	4.707237169468435	5.142364143333883	91.73683654874196	27.676527581089175	6.133955539682089	45.4534384683793	0.14109927754104662	0.3277815057587141	5.114381173144523
48.0	355.28312502533726	87.66777740972431	748.3010811284282	0.5211854367891406	0.9036592882520907	14.087044188440233	0.1806291080296482	0.3131844439193718	4.882197480820355	3.6125821605929644	6.263688878387436	97.6439496164071	24.626349641183904	6.076667273750727	51.868278459412885	0.11539153246093276	0.40513465874520815	5.194103298441531
50.0	315.2743925309892	89.34820177530845	836.7225385647275	0.41247441768696047	1.1134509179362988	14.437829071446439	0.14295273983641094	0.3858926822297143	5.003770257139756	2.859054796728219	7.717853644594285	100.07540514279512	21.85315562856046	6.193145414865615	57.9971868517101	0.09833644749219139	0.5047819487438685	5.033808182443521
52.0	279.2811064105291	93.913239916827	914.3133383288811	0.33857263131917226	1.3838700138479483	14.185237408849067	0.11734033240682304	0.4796127991800789	4.916228657758597	2.346806648136461	9.592255983601579	98.32457315517195	19.35829114921203	6.509569746559834	63.37537126110152	0.08725141072935959	0.6324276780279892	4.6320533701746776
